case_id,title_clean,program_family,precedent_rank,precedent_type,precedent_name,precedent_stage,precedent_notes,precedent_url,inferred_development,inferred_financing,inferred_team,total_raised_usd_est,last_round_usd_est,value_anchor_usd,value_anchor_type,value_source_url,financing_strategy,validation_status,confidence,source
auto_brown_university_assay_diagnostic_virus,RNA VIRUS DIAGNOSTIC ASSAY Diagnostic Opportunity,rna_virus_dx,1,startup,Cue Health,public_troubled,Molecular POC diagnostics,https://www.cuehealth.com/,FDA EUA/510(k) path,Public; post-COVID restructuring,ID + lab medicine,,,,,,Dx venture,suggested,medium,web_search_2026_03
auto_brown_university_assay_diagnostic_virus,RNA VIRUS DIAGNOSTIC ASSAY Diagnostic Opportunity,rna_virus_dx,2,incumbent,Abbott ID NOW,commercial,POC molecular channel benchmark,https://www.abbott.com/,Commercial scale,Strategic,Lab + ID,,,,,,Partner vs compete,suggested,medium,web_search_2026_03
auto_brown_university_biomarkers_disease_neural_parkinson,Neural biomarkers Parkinson disease Diagnostic Opportunity,parkinson_biomarkers,1,incumbent,Medtronic Percept sensing,commercial,Neural biomarkers for programming,https://www.medtronic.com/en-us/healthcare-professionals/specialties/neurology/therapies-procedures/deep-brain-stimulation/product-portfolio/percept-family.html,Regulatory clearance for biomarker-guided therapy,Strategic,Movement disorders,,,,,,Partner with incumbent,suggested,medium,web_search_2026_03
auto_brown_university_biomarkers_disease_neural_parkinson,Neural biomarkers Parkinson disease Diagnostic Opportunity,parkinson_biomarkers,2,startup,Rune Labs (StriveStudy),commercial,PD digital biomarkers + Apple Watch,https://www.runelabs.io/,FDA digital biomarker path,Venture,Neurology + digital health,,,,,,Pharma/device partnerships,suggested,medium,web_search_2026_03
auto_brown_university_biomarkers_disease_neural_parkinson,Neural biomarkers Parkinson disease Diagnostic Opportunity,parkinson_biomarkers,3,startup,NeuroPace,public,Chronic neural recording biomarkers,https://www.neuropace.com/,Long-term IDE/PMA evidence,Public,Epilepsy/neurology,540000000,,540000000,market_cap,https://investors.neuropace.com/,Public medtech,verified,high,web_verify_2026_05
auto_brown_university_biopsy_burr_hole_mounted_stereotactic,Burr hole mounted stereotactic biopsy device Medical Device Opportunity,neuro_dbs_hardware,1,incumbent,Boston Scientific Vercise,commercial,DBS leads and IPGs,https://www.bostonscientific.com/,Commercial neurostimulation,Strategic,Neurosurgery,,,,,,OEM partnership,suggested,medium,web_search_2026_03
auto_brown_university_biopsy_burr_hole_mounted_stereotactic,Burr hole mounted stereotactic biopsy device Medical Device Opportunity,neuro_dbs_hardware,2,incumbent,Medtronic SenSight leads,commercial,Directional DBS leads,https://www.medtronic.com/,510(k) device line extensions,Strategic,Neurosurgery + neurology,,,,,,License to big medtech,suggested,medium,web_search_2026_03
auto_brown_university_biopsy_burr_hole_mounted_stereotactic,Burr hole mounted stereotactic biopsy device Medical Device Opportunity,neuro_dbs_hardware,3,startup,ClearPoint Neuro,public,MRI-guided intervention platform,https://www.clearpointneuro.com/,Commercial neuro navigation,Public (NASDAQ CLPT); ~$335M market cap (May 2026),Neurosurgery,335000000,,335000000,market_cap,https://finance.yahoo.com/quote/CLPT/,Public medtech,verified,high,web_verify_2026_05
auto_brown_university_brain_high_imaging_resolution_spatiotemporal,Brown — high-resolution brain imaging,brain_imaging,1,startup,Hyperfine (Swoop MRI),commercial,Portable MRI; high-resolution brain imaging angle,https://hyperfine.io/,510(k) → hospital adoption,SPAC/public,Radiology + neurology,,,,,,Device + SaaS,suggested,medium,web_search_2026_03
auto_brown_university_brain_high_imaging_resolution_spatiotemporal,Brown — high-resolution brain imaging,brain_imaging,2,research,Academic high-resolution neuroimaging (Brown),academic,University lab → spinout or license,,NIH grants → seed,SBIR + university translational funds,Neuroscience + radiology,,,,,,Grant → spinout,suggested,medium,web_search_2026_03
