case_id,precedent_rank,precedent_name,action,validation_status,value_anchor_usd,value_anchor_type,value_source_url,total_raised_usd_est,last_round_usd_est,inferred_financing,precedent_notes,reviewer,reviewed_at,search_notes
theromics_ri,1,Theromics Inc,verify,verified,1000000,grant,https://www.prnewswire.com/news-releases/theromics-inc-receives-national-science-foundation-grant-for-innovative-ablation-therapy-technology-302086925.html,,,NSF STTR Phase II $1M (Mar 2024); prior Phase I; MassVentures START grant,,run_seeds_web_review,2026-05-28,NSF $1M STTR Phase II for HeatSYNC; Brown/RI Hospital spinout.
theromics_ri,3,Neuwave (Ethicon/J&J),skip,suggested,,,,,,,,run_seeds_web_review,2026-05-28,Strategic incumbent; no RI-relevant venture anchor — path comp only.
phlip_therapeutics_ri,1,pHLIP Inc,note,estimated,,,https://web.uri.edu/research-admin/university-of-rhode-island-professors-yana-reshetnyak-and-oleg-andreev-transferring-technology-to-the-market/,,,Yale University + Pacific Partners investors; URI/Yale/MSK licenses,,run_seeds_web_review,2026-05-28,No disclosed venture round anchor; RI spinout since 2015; clinical validation stage.
phlip_therapeutics_ri,2,On Target Laboratories (Cytalux),verify,verified,116500000,total_raised,https://www.prnewswire.com/news-releases/on-target-laboratories-secures-30-million-for-commercialization-of-cytalux-pafolacianine-injection-301989832.html,116500000,30000000,$116.5M total raised; $30M Series C Nov 2023 for CYTALUX commercialization,,run_seeds_web_review,2026-05-28,FDA-approved pafolacianine; Series C $30M Nov 2023.
phlip_therapeutics_ri,3,Cybrexa (alphalex),verify,verified,44400000,total_raised,https://www.globenewswire.com/news-release/2021/03/10/2190275/0/en/Cybrexa-Therapeutics-Closes-25-Million-Series-B-Financing.html,44400000,25000000,$6M seed (2017) + $25M Series B (Mar 2021); alphalex PDC platform; URI-origin pHLIP,,run_seeds_web_review,2026-05-28,Crunchbase-style total ~$44.4M disclosed equity.
phlip_therapeutics_ri,4,Indocyanine green (ICG),skip,suggested,,,,,,,,run_seeds_web_review,2026-05-28,Generic incumbent comparator; no venture anchor.
monaghan_sepsis_diagnostic_ri,2,Immunexpress (SeptiCyte),verify,verified,46880000,total_raised,https://www.prnewswire.com/news-releases/immunexpress-announces-closing-of-private-funding-round-300930242.html,46880000,,~$46.9M total raised; FDA-cleared SeptiCyte RAPID on Biocartis Idylla,,run_seeds_web_review,2026-05-28,CB Insights / company profile ~$46.88M total.
monaghan_sepsis_diagnostic_ri,3,Presymptom Health (InfectiClear),verify,verified,1900000,total_raised,https://ploughshare.co.uk/mod-spin-out-presymptom-health-raises-1-5m-to-develop-ai-driven-sepsis-and-infection-tests-for-the-nhs/,3200000,,£1.5M follow-on seed+grants (Mar 2024); UKI2S reports ~£3.2M total capital,,run_seeds_web_review,2026-05-28,£1.5M round Mar 2024; USD anchor uses ~$1.9M for £1.5M component.
nanode_ri,2,Ionis Pharmaceuticals,verify,verified,12640000000,market_cap,https://www.macrotrends.net/stocks/charts/IONS/ionis-pharmaceuticals/market-cap,,,Public NASDAQ IONS; ~$12.6B market cap May 2026,,run_seeds_web_review,2026-05-28,Platform comp for nucleic acid therapeutics.
nanode_ri,3,Alnylam Pharmaceuticals,verify,verified,38920000000,market_cap,https://stockanalysis.com/stocks/alny/statistics/,,,Public NASDAQ ALNY; ~$38.9B market cap May 2026,,run_seeds_web_review,2026-05-28,RNAi platform delivery comp.
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,1,Boston Scientific Vercise,skip,suggested,,,,,,,,interactive,2026-05-28,"Strategic incumbent DBS OEM; path comp only — lead value anchor is ClearPoint (rank 3, verified)."
