case_id,recommendation,rubric_score,themes,seed_noted,merge_target,opportunity_type,ri_owner,primary_lens_id,primary_title,top_physician_score,top_physician_name,top_physician_specialty,staffing_feasibility_score,rationale
auto_brown_university_apparatus_assay_cell_viability,tier_a_candidate,8,diagnostic_dx,false,,digital_therapeutic,true,152-916-521-994-058,CELL VIABILITY ASSAY METHODS AND APPARATUS,0,,,0.0,"Strong rubric — confirm PI, company, and dedupe before promotion."
auto_brown_university_biocompatible_delivery_immunoisolatory_implantab,tier_a_candidate,8,neuro_device|oncology_ther|drug_delivery|medical_device_kw,false,,medical_device,true,162-098-979-877-292,IMPLANTABLE BIOCOMPATIBLE IMMUNOISOLATORY VEHICLE FOR DELIVERY OF SELECTED THERAPEUTIC PRODUCTS.,0,,,0.0,"Strong rubric — confirm PI, company, and dedupe before promotion."
auto_brown_university_cells_delivery_encapsulated_implanted_neurotrans,tier_a_candidate,8,neuro_device|drug_delivery,false,,medical_device,true,148-234-033-796-092,"-I(IN VIVO) DELIVERY OF NEUROTRANSMITTERS BY IMPLANTED, ENCAPSULATED CELLS",0,,,0.0,"Strong rubric — confirm PI, company, and dedupe before promotion."
auto_rhode_island_cells_delivery_diseased_environmentally_marking,tier_a_candidate,6,drug_delivery,true,,platform,true,046-853-519-373-676,Selective delivery of molecules into cells or marking of cells in diseased tissue regions using environmentally sensitive transmembrane peptide,0,,,0.0,Flagged in seed curation notes — prioritize human Q&A (Seed Tier A template).
auto_brown_university_antifungal_fungal_infections_nanoparticles_targe,tier_b,7,diagnostic_dx|drug_delivery,false,,platform,true,034-379-863-602-916,Antifungal nanoparticles for targeted treatment of fungal infections,93,LESLIE HUFF,PATHOLOGY,66.7,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_apparatus_detection_model_structure_view,tier_b,7,diagnostic_dx,false,,diagnostic,true,016-682-190-415-073,Methods and apparatus for model-based detection of structure in view data,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_biomarkers_blockade_circulating_inhibition_respo,tier_b,7,diagnostic_dx|oncology_ther,false,,diagnostic,true,100-549-649-740-366,CIRCULATING BIOMARKERS OF RESPONSE TO PD-1/PD-L1 BLOCKADE AND GSK-3 INHIBITION,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_brown_university_compounds_infections_prevention,tier_b,7,diagnostic_dx,false,,therapeutic,true,155-071-353-278-905,Compounds for the treatment and prevention of infections,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_guru_nanak_artificial_depression_detection_early_electroenc,tier_b,7,diagnostic_dx,false,,diagnostic,true,035-926-779-082-758,ARTIFICIAL INTELLIGENCE (AI) AND MACHINE LEARNING (ML) BASED GRAPHICAL USER INTERFACE (GUI) SYSTEM FOR EARLY DETECTION OF DEPRESSION SYMPTOMS USING FACIAL EXPRESSION RECOGNITION AND ELECTROENCEPHALOGRAM,0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
auto_rhode_island_alcohol_disease_induced_liver_prevention_reversa,tier_b,7,neuro_device,false,,platform,true,189-204-217-537-474,"Treatment, prevention, and reversal of alcohol-induced liver disease",0,,,0.0,Promising — enrich as Tier B first or hold for catalog backlog.
