case_id,precedent_rank,precedent_type,precedent_name,precedent_stage,precedent_notes,precedent_url,inferred_development,inferred_financing,inferred_team,total_raised_usd_est,last_round_usd_est,value_anchor_usd,value_anchor_type,value_source_url,financing_strategy,validation_status,confidence,source
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,1,incumbent,Boston Scientific Vercise,commercial,DBS leads and IPGs,https://www.bostonscientific.com/,Commercial neurostimulation,Strategic,Neurosurgery,,,,,,OEM partnership,suggested,medium,web_search_2026_03
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,2,incumbent,Medtronic SenSight leads,commercial,Directional DBS leads,https://www.medtronic.com/,510(k) device line extensions,Strategic,Neurosurgery + neurology,,,,,,License to big medtech,suggested,medium,web_search_2026_03
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,3,startup,ClearPoint Neuro,public,MRI-guided intervention platform,https://www.clearpointneuro.com/,Commercial neuro navigation,Public (NASDAQ CLPT); ~$335M market cap (May 2026),Neurosurgery,335000000,,335000000,market_cap,https://finance.yahoo.com/quote/CLPT/,Public medtech,verified,high,web_verify_2026_05
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,1,ri_public,Ocean Biomedical (CHI3L1 / Elias),public_SPAC,Providence RI; Brown/Elias CHI3L1 antibodies,https://www.globenewswire.com/news-release/2023/05/23/2674264/0/en/Ocean-Biomedical-Inc-NASDAQ-OCEA-Announces-Patent-Award-for-Novel-Cancer-Immunotherapy-Treatment-Granted-for-Prostate-Cancer-Colon-Cancer-Ovarian-Cancer-Kidney-Cancer-Breast-Cancer.html,Preclinical → IND-enabling → spinouts,Public vehicle + university licenses,Med onc + translational pulmonology,,,,https://www.globenewswire.com/news-release/2023/05/23/2674264/0/en/Ocean-Biomedical-Inc-NASDAQ-OCEA-Announces-Patent-Award-for-Novel-Cancer-Immunotherapy-Treatment-Granted-for-Prostate-Cancer-Colon-Cancer-Ovarian-Cancer-Kidney-Cancer-Breast-Cancer.html,Hub-and-spoke biotech holding,suggested,medium,web_verify_2026_05
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,2,research,Brown / RI Hospital CHI3L1 program (Elias),academic,SEC filings describe mAb and bispecific pipeline,https://www.sec.gov/Archives/edgar/data/1869974/000149315223010129/form10-k.htm,Academic → Ocean license → IND,NIH + philanthropy + venture spinout,Oncology + immunology,,,,https://www.sec.gov/Archives/edgar/data/1869974/000149315223010129/form10-k.htm,License to vehicle or newco,suggested,medium,web_verify_2026_05
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,3,pharma_deal,GSK efimosfermin acquisition (NASH analog),phase_3_ready,Fibrosis/NASH exit comp (not CHI3L1 mechanism),https://www.businesswire.com/news/home/20250513598541/en/GSK-to-acquire-efimosfermin-a-phase-III-ready-potential-best-in-class-specialty-medicine-to-treat-and-prevent-progression-of-steatotic-liver-disease-SLD,Phase 3 → acquisition,$1.2B upfront + up to $800M milestones,Hepatology development,1200000000,1200000000,1200000000,acquisition,https://www.businesswire.com/news/home/20250513598541/en/GSK-to-acquire-efimosfermin-a-phase-III-ready-potential-best-in-class-specialty-medicine-to-treat-and-prevent-progression-of-steatotic-liver-disease-SLD,Pharma acquisition of late-stage asset,verified,high,web_verify_2026_05
auto_brown_university_biomedical_biosensor_diagnostics_large_networks,1,pharma_deal,Iota Biosciences (neural dust),acquired_2020,Ultrasound-powered wireless neural dust; mm-scale battery-free implants for neural sensing/stimulation,https://newsroom.astellas.com/2020-10-30-Astellas-Completes-Acquisition-of-iota-Biosciences,Preclinical → Astellas R&D partnership → acquisition → Rx+ platform,$15M Series A (May 2018); $127.5M upfront acquisition (Oct 2020) + up to $176.5M milestones; $125M five-year post-close R&D commitment,Neuroengineering + neurosurgery/neurology KOLs,15000000,127500000,304000000,acquisition,https://newsroom.astellas.com/2020-10-30-Astellas-Completes-Acquisition-of-iota-Biosciences,Seed/Series A → corporate R&D → pharma acquisition (Astellas Rx+),verified,high,web_verify_2026_05
auto_brown_university_biomedical_biosensor_diagnostics_large_networks,2,startup,Synchron (Stentrode),pivotal_2026,Endovascular BCI; minimally invasive neural interface,https://synchron.com/,IDE → pivotal → PMA,$345M lifetime; $200M Series D (Nov 2025),Interventional neurology + neurosurgery,345000000,200000000,345000000,total_raised,https://www.businesswire.com/news/home/20251106150841/en/Synchron-Raises-200-Million-Series-D-to-Advance-Brain-Computer-Interface-Technology,Venture → pivotal → PMA,verified,high,web_verify_2026_05
auto_brown_university_biomedical_biosensor_diagnostics_large_networks,3,startup,Blackrock Neurotech,private,Utah array; research/clinical BCI,https://www.blackrockneuro.com/,Research grants → clinical trials,Strategic + grants,Neurosurgery + BCI research,,,,,,Strategic pharma/device,suggested,medium,web_search_2026_03
auto_brown_university_brain_chemotherapeutic_drug_enhancing_tumors_upt,1,startup,Carthera (Sonocloud BBB),clinical,BBB opening for brain drug delivery,https://www.carthera.eu/,Clinical trials in neuro-onc,"~$55M total; Series B €42M (~$45M, Dec 2023)",Neuro-oncology,55100000,45000000,55100000,total_raised,https://carthera.eu/,Venture → pharma,verified,high,web_verify_2026_05
