case_id,lens_id,display_key,title,owners,inventors,legal_status,opportunity_type,lens_in_catalog,ri_notes
auto_access_scient_articles_echogenic_including_medical_pattern_sam,167-053-262-321-003,WO 2017/027746 A1,ECHOGENIC PATTERN AND MEDICAL ARTICLES INCLUDING SAME,,NGUYEN TU;;BEALKA DAVID JOSEPH,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_advanced_interconnections_adapter_circuit_gullwing_having_integrated_leads,081-222-993-269-671,WO 1991/015881 A1,INTEGRATED CIRCUIT ADAPTER HAVING GULLWING-SHAPED LEADS,,MURPHY JAMES V,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_advanced_interconnections_construction_improved_positioning_socket_termina,008-621-902-392-449,EP 0139662 B1,IMPROVED SOCKET TERMINAL POSITIONING METHOD AND CONSTRUCTION,,"MURPHY, JAMES, V.",EXPIRED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_aebischer_patrick_combinations_defined_immunosuppressants_immunosu,104-519-806-801-811,WO 1992/017130 A1,LOCAL IMMUNOSUPPRESSION BY POLYMER RELEASE OF DEFINED COMBINATIONS OF IMMUNOSUPPRESSANTS,,AEBISCHER PATRICK;;LACY PAUL E,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_aegis_technologie_chronic_copd_disease_imidazoline_inhalation_obst,079-290-739-621-943,EP 0527925 A1,TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) BY INHALATION OF AN IMIDAZOLINE.,,SKUPIN ALVARO H,DISCONTINUED,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_aegis_technology_chronic_copd_disease_imidazoline_inhalation_obst,113-615-057-154-472,WO 1991/016891 A1,TREATMENT OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD) BY INHALATION OF AN IMIDAZOLINE,,SKUPIN ALVARO H,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_agricultural_corp_apparat_massedyrkning_planter,154-808-908-087-123,DK 2912937 T3,Apparat til massedyrkning af planter,,PARK YEONG HWAN,ACTIVE,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_alkermes_rege_compound_narcolepsy,069-608-703-072-166,IL 326910 A,Compound for use in treating narcolepsy,,REGE BHASKAR M;;LANDRY ISHANI SAVANT;;BERELLINI GIULIANO;;KHARIDIA JAHNAVI;;MACPHEE J MICHAEL;;KUMAR ROHIT;;CHEN JUN;;HU,PENDING,therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_alliance_sustainable_films_halide_making_metal_organo_perovskites_sam,169-613-006-248-674,WO 2016/187340 A1,ORGANO-METAL HALIDE PEROVSKITES FILMS AND METHODS OF MAKING THE SAME,,ZHU KAI;;YANG MENGJIN;;ZHOU YUANYUAN;;PADTURE NITIN P,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_alphacryptec_hwang_alleviating_containing_cosmetic_daphnetin_inflam,108-813-322-153-291,WO 2009/096695 A2,COSMETIC COMPOSITION FOR ALLEVIATING PRURITUS OR INFLAMMATION CONTAINING DAPHNETIN,,,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_ambrogi_apparato_arboree_attuazione_colture_dell_disposi,048-479-776-733-615,IT 1397869 B1,IMPIANTO DI IRRIGAZIONE DELL'APPARATO RADICALE NELLE COLTURE ARBOREE E DISPOSITIVO PER LA SUA ATTUAZIONE.,,AMBROGI BRUNO,ACTIVE,digital_therapeutic,false,Deduped patent family (1 of 1 records); review scope and naming.
auto_amel_tech_crystal_display_liquid_transflective,008-297-203-672-458,WO 2016/167788 A1,TRANSFLECTIVE LIQUID CRYSTAL DISPLAY,,NEVEUX NATHANAEL,PENDING,platform,false,Deduped patent family (1 of 1 records); review scope and naming.
