case_id,display_name,target,indication,opportunity_type,company,slater_invested,development_stage,required_roles,required_specialties,clinical_tags,target_timeline_weeks,budget_ceiling_usd,capital_gap_usd,ri_institution,ri_ip_source,ri_notes,ri_physician_lead,conflict_tags,llm_inferred_label,llm_label_method,source_type,mocked,confidence_0_1
theromics_ri,Theromics / Thermal Ablation Platform (RI),Theromics HeatSYNC thermal accelerant gel,thermal tumor ablation (liver/kidney RF and microwave),platform,Theromics Inc,false,pilot clinical deployment,reviewer|advisor|pilot_designer,interventional radiology|surgical oncology|radiation oncology|medical oncology,interventional_radiology|radiation_oncology|surgical_oncology|thermal_ablation|tumor_ablation,20,450000,1800000,Rhode Island Hospital / Brown,lens:185-839-533-093-266,Park Lab spinout; albumin-based gel for RF/microwave ablation (HeatSYNC).,BLAISE BAXTER,,Thermal accelerant compositions and methods use Technology Platform Opportunity,deterministic_proxy_from_patent_title,lens_patent_csv,false,0.73
monaghan_sepsis_diagnostic_ri,Monaghan / Host-Response RNA Dx (RI),Monaghan deep RNA host-response diagnostic,early sepsis and critical illness host-response RNA diagnostics,diagnostic,Monaghan Lab / RI Hospital,false,validation,reviewer|pilot_designer|investigator,critical care|infectious disease|emergency medicine,critical_care|diagnostic|emergency_medicine|infectious_disease|sepsis,16,380000,1200000,Rhode Island Hospital / Brown,lens:085-655-703-999-246,Monaghan Lab; NIH-funded deep RNA platform (Inflammatix-like). No spinout yet.,SEAN MONAGHAN,,PREDICTING COVID ANTIBODIES AMONG SURVIVORS WITH Diagnostic Opportunity,deterministic_proxy_from_patent_title,lens_patent_csv,false,0.73
cbt_pain_digital_platform_ri,Petzchner / SOMA Pain Management (RI),SOMA Pain Management digital CBT,chronic pain — digital CBT via mobile app,digital_therapeutic,SOMA Pain Management (Federika Petzchner / Brown),false,pilot launch,reviewer|advisor|investigator,pain medicine|behavioral health|primary care,behavioral_health|chronic_pain|digital_therapeutic|pain_medicine,14,250000,900000,Brown University / RI health systems,,Digital therapeutic; App Store SOMA Pain Management beta.,LAERT RUSHA,,Petzchner / SOMA Pain Management (RI),curated_program_without_patent_anchor,ri_physicians_ip_seed,false,0.73
nanode_ri,NanoDe / Nucleic Acid Delivery Platform (RI),NanoDe Nanopieces nucleic acid delivery,Janus nucleotide and Nanopieces nucleic acid delivery,platform,NanoDe Therapeutics,false,prototype to pilot,reviewer|pilot_designer|investigator,medical oncology|clinical pharmacology|biomedical engineering,biomedical_engineering|clinical_pharmacology|medical_oncology|nucleic_acid_delivery,22,520000,2100000,Brown University / Rhode Island Hospital,lens:008-231-790-422-477,Chen Qian Nanopieces primary; nanotube carrier secondary. Dana Ono historical CEO.,TODD ROBERTS,,VITRO AND VIVO INTRACELLULAR DELIVERY SIRNA Technology Platform Opportunity,deterministic_proxy_from_patent_title,lens_patent_csv,false,0.73
phlip_therapeutics_ri,pHLIP Inc / pH-Sensitive Platform (RI),pHLIP imaging and delivery platform,tumor imaging and pH-targeted therapeutic delivery,platform,pHLIP Inc,false,validation,reviewer|advisor|investigator,oncology|interventional radiology|pathology,diagnostic|imaging|interventional_radiology|oncology|pathology,18,400000,1200000,Yale University / URI,lens:156-876-316-327-303,pHLIP Inc (phlipinc.com); Reshetnyak/Engelman Yale-URI IP.,BLAISE BAXTER,,Fluorescent compound comprising fluorophore conjugated triggered Technology Platform Opportunity,deterministic_proxy_from_patent_title,lens_patent_csv,false,0.73
prothera_iaip_ri,ProThera / IAIP biologics (RI),Inter-alpha inhibitor proteins for sepsis,early sepsis and critical illness — IAIP biologic therapeutic,therapeutic,ProThera Biologics Inc,false,validation,reviewer|advisor|investigator,critical care|infectious disease|neonatology|emergency medicine,critical_care|infectious_disease|neonatology|sepsis|therapeutic,18,450000,1500000,Rhode Island Hospital / ProThera,lens:041-853-574-697-591,Yow-Pin Lim / ProThera (https://vivo.brown.edu/display/ylimmdph). Complementary to monaghan_sepsis_diagnostic_ri — distinct IAIP biologic MOA.,CHESTON CUNHA,,INTER ALPHA INHIBITOR PROTEINS AND METHODS Therapeutic Opportunity,deterministic_proxy_from_patent_title,lens_patent_csv,false,0.73
mindimmune_therapeutics_ri,MindImmune / MITI-101 Neuroimmune (RI),MITI-101 monoclonal antibody,Alzheimer's disease — block peripheral immune cell recruitment to brain,therapeutic,MindImmune Therapeutics Inc,false,validation,reviewer|advisor|investigator,neurology|geriatric psychiatry|memory disorders,alzheimer|neurology|neuroimmunology|therapeutic,22,400000,1800000,University of Rhode Island / Ryan Institute,,URI Ryan Institute affiliate (Kingston); MITI-101 mAb; Slater/RightHill/Pfizer Ventures in Series A (~$30M total). Distinct from TEEM/Coulombe cardiac and Brown neuro-device Tier A cases.,HEINRICH ELINZANO,,Dendritic cell recruitment from blood to brain Therapeutic Opportunity,deterministic_proxy_from_patent_title,manual_patent_intake,false,0.73
auto_rhode_island_liposome_thereof,Liposome compositions and methods use thereof Technology Platform Opportunity,Liposome compositions and methods of use thereof,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:073-584-507-838-743,Deduped patent family (2 of 6 records); review scope and naming.,TBD,,Liposome compositions and methods use thereof Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_cells_delivery_diseased_environmentally_marking,Selective delivery molecules into cells marking Technology Platform Opportunity,Selective delivery of molecules into cells or marking of cells in diseased tissu,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:046-853-519-373-676,Deduped patent family (2 of 6 records); review scope and naming.,TBD,,Selective delivery molecules into cells marking Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_against_antibodies_disease_falciparum_infection,Antibodies PfGARP kill Plasmodium falciparum malaria Technology Platform Opportunity,Antibodies to PfGARP kill Plasmodium falciparum malaria parasites and protect ag,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:115-977-056-135-780,Deduped patent family (2 of 4 records); review scope and naming.,TBD,,Antibodies PfGARP kill Plasmodium falciparum malaria Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_agent_anti_inflammatory_prg4,Use PRG4 anti inflammatory agent Technology Platform Opportunity,Use of PRG4 as an anti-inflammatory agent,RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:130-662-839-673-398,Deduped patent family (2 of 4 records); review scope and naming.,TBD,,Use PRG4 anti inflammatory agent Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
auto_rhode_island_alcohol_disease_induced_liver_prevention_reversa,Treatment prevention and reversal alcohol induced Technology Platform Opportunity,"Treatment, prevention, and reversal of alcohol-induced liver disease",RI technology opportunity from patent corpus,platform,TBD,false,validation,reviewer|advisor|investigator,oncology|pathology|biostatistics,medical_oncology|pathology,20,400000,1200000,Rhode Island ecosystem,lens:189-204-217-537-474,Deduped patent family (2 of 4 records); review scope and naming.,TBD,,Treatment prevention and reversal alcohol induced Technology Platform Opportunity,deterministic_proxy_from_deduped_patent_family,lens_patent_csv,false,0.64
