queue_index,case_id,title_clean,precedent_rank,precedent_name,validation_status,value_anchor_usd,value_source_url,needs_review,review_reason,precedent_url,primary_link_1,primary_link_2,primary_link_3,search_funding,search_acquisition,search_market_cap,search_press_release
1,auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,1,Boston Scientific Vercise,suggested,,,true,status_suggested,https://www.bostonscientific.com/,https://www.bostonscientific.com/,https://www.sec.gov/edgar/search/#/q=Boston%20Scientific%20Vercise,https://www.prnewswire.com/news/boston-scientific-corporation/,https://www.google.com/search?q=Boston%20Scientific%20Vercise%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Boston%20Scientific%20Vercise%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Boston%20Scientific%20Vercise%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Boston%20Scientific%20Vercise%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
2,auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,2,Medtronic SenSight leads,suggested,,,true,status_suggested,https://www.medtronic.com/,https://www.medtronic.com/,https://www.sec.gov/edgar/search/#/q=Medtronic%20SenSight%20leads,,https://www.google.com/search?q=Medtronic%20SenSight%20leads%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Medtronic%20SenSight%20leads%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Medtronic%20SenSight%20leads%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Medtronic%20SenSight%20leads%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
3,auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,1,Ocean Biomedical (CHI3L1 / Elias),suggested,,,true,status_suggested,https://www.globenewswire.com/news-release/2023/05/23/2674264/0/en/Ocean-Biomedical-Inc-NASDAQ-OCEA-Announces-Patent-Award-for-Novel-Cancer-Immunotherapy-Treatment-Granted-for-Prostate-Cancer-Colon-Cancer-Ovarian-Cancer-Kidney-Cancer-Breast-Cancer.html,https://www.globenewswire.com/news-release/2023/05/23/2674264/0/en/Ocean-Biomedical-Inc-NASDAQ-OCEA-Announces-Patent-Award-for-Novel-Cancer-Immunotherapy-Treatment-Granted-for-Prostate-Cancer-Colon-Cancer-Ovarian-Cancer-Kidney-Cancer-Breast-Cancer.html,https://www.sec.gov/edgar/search/#/q=Ocean%20Biomedical,https://stockanalysis.com/quote/otc/OCEA/market-cap/,https://www.google.com/search?q=Ocean%20Biomedical%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Ocean%20Biomedical%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Ocean%20Biomedical%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Ocean%20Biomedical%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
4,auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,2,Brown / RI Hospital CHI3L1 program (Elias),suggested,,,true,status_suggested,https://www.sec.gov/Archives/edgar/data/1869974/000149315223010129/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1869974/000149315223010129/form10-k.htm,,,https://www.google.com/search?q=Brown%20/%20RI%20Hospital%20CHI3L1%20program%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Brown%20/%20RI%20Hospital%20CHI3L1%20program%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Brown%20/%20RI%20Hospital%20CHI3L1%20program%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Brown%20/%20RI%20Hospital%20CHI3L1%20program%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
5,auto_brown_university_biomedical_biosensor_diagnostics_large_networks,Nurmikko — wireless biosensor networks,1,Biowear,suggested,,,true,status_suggested,https://www.biowear.net/,https://www.biowear.net/,https://www.sec.gov/edgar/search/#/q=Biowear,,https://www.google.com/search?q=Biowear%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Biowear%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Biowear%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Biowear%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
6,auto_brown_university_biomedical_biosensor_diagnostics_large_networks,Nurmikko — wireless biosensor networks,2,Senphonix (SleeveSense),suggested,,,true,status_suggested,https://senphonix.com/solution,https://senphonix.com/solution,https://www.sec.gov/edgar/search/#/q=Senphonix,,https://www.google.com/search?q=Senphonix%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Senphonix%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Senphonix%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Senphonix%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
7,auto_brown_university_biomedical_biosensor_diagnostics_large_networks,Nurmikko — wireless biosensor networks,3,AOKNOS,suggested,,,true,status_suggested,https://aoknos.com/,https://aoknos.com/,https://www.sec.gov/edgar/search/#/q=AOKNOS,,https://www.google.com/search?q=AOKNOS%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=AOKNOS%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=AOKNOS%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=AOKNOS%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
8,auto_brown_university_drug_overdose,Brown — drug overdose therapeutics,2,Harm Reduction Therapeutics,suggested,,,true,status_suggested,https://www.harmreductiontherapeutics.org/,https://www.harmreductiontherapeutics.org/,https://www.sec.gov/edgar/search/#/q=Harm%20Reduction%20Therapeutics,,https://www.google.com/search?q=Harm%20Reduction%20Therapeutics%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Harm%20Reduction%20Therapeutics%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Harm%20Reduction%20Therapeutics%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Harm%20Reduction%20Therapeutics%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
9,auto_brown_university_implantable_neural_wireless,Nurmikko — implantable wireless neural device,3,Blackrock Neurotech,suggested,,,true,status_suggested,https://www.blackrockneuro.com/,https://www.blackrockneuro.com/,https://www.sec.gov/edgar/search/#/q=Blackrock%20Neurotech,,https://www.google.com/search?q=Blackrock%20Neurotech%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Blackrock%20Neurotech%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Blackrock%20Neurotech%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Blackrock%20Neurotech%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
10,auto_noramco_2020_hydrochloride_methylphenidate_synthesis_temperat,Noramco — methylphenidate synthesis,1,Rhodes Technologies,suggested,,,true,status_suggested,https://www.rhodestech.com/,https://www.rhodestech.com/,,,https://www.google.com/search?q=Rhodes%20Technologies%20funding%20round%20total%20raised%202024%202025%202026,https://www.google.com/search?q=Rhodes%20Technologies%20acquisition%20price%20deal%202024%202025%202026,https://www.google.com/search?q=Rhodes%20Technologies%20market%20cap%20NASDAQ%202026,https://www.google.com/search?q=Rhodes%20Technologies%20%28site%3Aprnewswire.com%20OR%20site%3Abusinesswire.com%20OR%20site%3Asec.gov%29%20funding%20OR%20acquisition%20OR%20market%20cap%202024%202025%202026
