case_id,title_clean,catalog_include,rank,physician_id,name,specialty,institution,match_score,overlap_tags
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,ACL post-surgery outcome prediction (MRI),true,1,npi_1003871336,TODD ROBERTS,MEDICAL ONCOLOGY,"PROSPECT CHARTERCARE RWMC, LLC",53,medical_oncology
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,ACL post-surgery outcome prediction (MRI),true,2,npi_1023306974,SARA MALEKI,PATHOLOGY,RHODE ISLAND HOSPITAL,53,pathology
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,ACL post-surgery outcome prediction (MRI),true,3,npi_1063466621,GLADYS TELANG,PATHOLOGY,BROWN DERMATOLOGY INC,53,pathology
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,ACL post-surgery outcome prediction (MRI),true,4,npi_1073718417,LESLIE HUFF,PATHOLOGY,"MASSTEX IMAGING, LLC",53,pathology
auto_rhode_island_anterior_cruciate_invasive_ligament_measurement,ACL post-surgery outcome prediction (MRI),true,5,npi_1073853248,MARIANA CANEPA,PATHOLOGY,RHODE ISLAND HOSPITAL,53,pathology
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",true,1,npi_1023351285,BENJAMIN POLLOCK,NEUROLOGY,ACCESS TELECARE PLLC,53,neurology
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",true,2,npi_1043704703,SCOTT WARREN,NEUROLOGY,RHODE ISLAND HOSPITAL,53,neurology
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",true,3,npi_1043730112,ANIRUDH PENUMAKA,NEUROSURGERY,LIFESPAN PHYSICIAN GROUP INC,53,neurosurgery
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",true,4,npi_1053840827,ELIAS SHAAYA,NEUROSURGERY,RHODE ISLAND HOSPITAL,53,neurosurgery
auto_rhode_island_biomedical_detecting_electrical_electrode_locali,"Besio — epilepsy electrodes, tripolar stimulation & sensors",true,5,npi_1063477032,HEINRICH ELINZANO,NEUROLOGY,RHODE ISLAND HOSPITAL,53,neurology
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,true,1,npi_1003392689,EUGENIE ATALLAH,NEUROLOGY,RHODE ISLAND HOSPITAL,53,neurology
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,true,2,npi_1023039740,DENNIS AUMENTADO,NEUROLOGY,"NORTH SMITHFIELD, RI",53,neurology
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,true,3,npi_1023135720,PREETI GUPTA,NEUROLOGY,"EAST PROVIDENCE, RI",53,neurology
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,true,4,npi_1023182383,JUAN CANTON,NEUROLOGY,"WARWICK, RI",53,neurology
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,Brain electrode annulus + catheter system,true,5,npi_1023291556,CHIZOBA UMEH,NEUROLOGY,ACCESS TELECARE PLLC,53,neurology
auto_brown_university_brain_chemotherapeutic_drug_enhancing_tumors_upt,Brown — brain tumor chemo uptake,true,1,npi_1003871336,TODD ROBERTS,MEDICAL ONCOLOGY,"PROSPECT CHARTERCARE RWMC, LLC",53,medical_oncology
auto_brown_university_brain_chemotherapeutic_drug_enhancing_tumors_upt,Brown — brain tumor chemo uptake,true,2,npi_1194249565,MOHAMMED JALOUDI,MEDICAL ONCOLOGY,AFFINITY PHYSICIANS LLC.,53,medical_oncology
auto_brown_university_brain_chemotherapeutic_drug_enhancing_tumors_upt,Brown — brain tumor chemo uptake,true,3,npi_1336596774,KATHRYN DECARLI,MEDICAL ONCOLOGY,RHODE ISLAND HOSPITAL,53,medical_oncology
auto_brown_university_brain_chemotherapeutic_drug_enhancing_tumors_upt,Brown — brain tumor chemo uptake,true,4,npi_1790977650,KHALDOUN ALMHANNA,MEDICAL ONCOLOGY,RHODE ISLAND HOSPITAL,53,medical_oncology
auto_brown_university_brain_chemotherapeutic_drug_enhancing_tumors_upt,Brown — brain tumor chemo uptake,true,5,npi_1821070418,PLAKYIL JOSEPH,MEDICAL ONCOLOGY,AFFINITY PHYSICIANS LLC.,53,medical_oncology
auto_brown_university_drug_overdose,Brown — drug overdose therapeutics,true,1,npi_1003871336,TODD ROBERTS,MEDICAL ONCOLOGY,"PROSPECT CHARTERCARE RWMC, LLC",53,medical_oncology
auto_brown_university_drug_overdose,Brown — drug overdose therapeutics,true,2,npi_1194249565,MOHAMMED JALOUDI,MEDICAL ONCOLOGY,AFFINITY PHYSICIANS LLC.,53,medical_oncology
auto_brown_university_drug_overdose,Brown — drug overdose therapeutics,true,3,npi_1336596774,KATHRYN DECARLI,MEDICAL ONCOLOGY,RHODE ISLAND HOSPITAL,53,medical_oncology
auto_brown_university_drug_overdose,Brown — drug overdose therapeutics,true,4,npi_1790977650,KHALDOUN ALMHANNA,MEDICAL ONCOLOGY,RHODE ISLAND HOSPITAL,53,medical_oncology
auto_brown_university_drug_overdose,Brown — drug overdose therapeutics,true,5,npi_1821070418,PLAKYIL JOSEPH,MEDICAL ONCOLOGY,AFFINITY PHYSICIANS LLC.,53,medical_oncology
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,true,1,npi_1003871336,TODD ROBERTS,MEDICAL ONCOLOGY,"PROSPECT CHARTERCARE RWMC, LLC",53,medical_oncology
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,true,2,npi_1194249565,MOHAMMED JALOUDI,MEDICAL ONCOLOGY,AFFINITY PHYSICIANS LLC.,53,medical_oncology
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,true,3,npi_1336596774,KATHRYN DECARLI,MEDICAL ONCOLOGY,RHODE ISLAND HOSPITAL,53,medical_oncology
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,true,4,npi_1790977650,KHALDOUN ALMHANNA,MEDICAL ONCOLOGY,RHODE ISLAND HOSPITAL,53,medical_oncology
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,CHI3L1 — bispecific antibody platform,true,5,npi_1821070418,PLAKYIL JOSEPH,MEDICAL ONCOLOGY,AFFINITY PHYSICIANS LLC.,53,medical_oncology
