case_id,precedent_rank,label,url,resolved_at,resolver
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,1,Boston Scientific Ventures investment portfolio | PitchBook,https://pitchbook.com/profiles/investor/224396-20,2026-06-01,duckduckgo_html
auto_brown_university_annulus_biocompatible_brain_catheter_coupled_ele,1,List of top Boston Scientific Portfolio Companies - Crunchbase,https://www.crunchbase.com/hub/boston-scientific-portfolio-companies,2026-06-01,duckduckgo_html
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,1,Ocean Biomedical (OCEA) Market Cap &amp; Net Worth - Stock Analysis,https://stockanalysis.com/quote/otc/OCEA/market-cap/,2026-06-01,duckduckgo_html
auto_brown_university_anti_antibody_bispecific_chi3l1_reagents_relatin,1,"Ocean Biomedical, Inc. (OCEA) Valuation Measures &amp; Financial Statistics",https://finance.yahoo.com/quote/OCEA/key-statistics/,2026-06-01,duckduckgo_html
auto_brown_university_assay_diagnostic_virus,1,Cue Health Closes $100 Mln Series C Financing | Reuters,https://www.reuters.com/article/business/healthcare-pharmaceuticals/cue-health-closes-100-mln-series-c-financing-idUSASA00TBX/,2026-06-01,duckduckgo_html
auto_brown_university_assay_diagnostic_virus,1,Investors - Cue Biopharma,https://www.cuebiopharma.com/investors/,2026-06-01,duckduckgo_html
auto_contech_medical_medical_securing,2,Brown University to have $510M in federal grants frozen: reports,https://www.fiercebiotech.com/research/brown-allegedly-set-have-510m-federal-research-grants-frozen-latest-university-targeted,2026-06-01,duckduckgo_html
auto_contech_medical_medical_securing,2,Business Wire,https://www.businesswire.com/news/home/20260324546132/en,2026-06-01,duckduckgo_html
auto_noramco_2020_dioxanocodides_dioxanomorphides,1,"Rhode 2026 Company Profile: Valuation, Investors, Acquisition - PitchBook",https://pitchbook.com/profiles/company/494842-51,2026-06-01,duckduckgo_html
auto_noramco_2020_dioxanocodides_dioxanomorphides,1,Upcoming &amp; Recent IPO&#x27;s - IPOs Calendar - Yahoo Finance,https://finance.yahoo.com/calendar/ipo,2026-06-01,duckduckgo_html
auto_rhode_island_antibacterial_antibiofilm_auranofin_catheter_coa,2,SEC.gov,https://www.sec.gov/Archives/edgar/data/1410098/000121390024091959/ea021902101ex99-1_cormedix.htm,2026-06-01,duckduckgo_html
auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,1,"Medtronic announces intent to acquire SPR Therapeutics, Inc., expanding ...",https://www.prnewswire.com/news-releases/medtronic-announces-intent-to-acquire-spr-therapeutics-inc-expanding-care-options-for-people-living-with-chronic-pain-302777023.html,2026-06-01,duckduckgo_html
auto_rhode_island_behavioral_biomarkers_brain_closed_deep_features,1,Medtronic inks $650M deal for SPR Therapeutics,https://www.fiercebiotech.com/medtech/medtronic-inks-650m-deal-spr-therapeutics,2026-06-01,duckduckgo_html
auto_rhode_island_detection_large_occlusion_prediction_vessel,1,Viz.ai reaches unicorn valuation with $100M Series D - PitchBook,https://pitchbook.com/newsletter/vizai-reaches-unicorn-valuation-with-100m-series-d,2026-06-01,duckduckgo_html
auto_rhode_island_detection_large_occlusion_prediction_vessel,1,"Viz.ai Raises $100 Million in Series D Funding, Led by Tiger Global and ...",https://www.businesswire.com/news/home/20220407005351/en/,2026-06-01,duckduckgo_html
auto_rhode_island_fixation_intracranial,2,Medtronic - Financial Details - Crunchbase,https://www.crunchbase.com/organization/medtronic/financial_details,2026-06-01,duckduckgo_html
auto_rhode_island_fixation_intracranial,2,Medtronic - Crunchbase Company Profile &amp; Funding,https://www.crunchbase.com/organization/medtronic,2026-06-01,duckduckgo_html
auto_rhode_island_fixation_intracranial,2,The SpaceX IPO Is Weeks Away: Here&#x27;s What History Says Happens After It ...,https://finance.yahoo.com/markets/stocks/articles/spacex-ipo-weeks-away-heres-181000575.html,2026-06-01,duckduckgo_html
auto_rhode_island_fixation_intracranial,2,Investor Relations | Medtronic - Overview,https://investorrelations.medtronic.com/,2026-06-01,duckduckgo_html
auto_university_rhode_biomedical_brassylate_copolymers_dioxanone_ethyl,2,Investors - Evonik,https://www.evonik.com/en/investor-relations.html,2026-06-01,duckduckgo_html
auto_university_rhode_biomedical_brassylate_copolymers_dioxanone_ethyl,2,Investor Relations - Evonik Industries,https://corporate.evonik.us/en/investors,2026-06-01,duckduckgo_html
theromics_ri,2,Profound Medical Reports Fourth Quarter and Full Year 2025 Financial ...,https://finance.yahoo.com/news/profound-medical-reports-fourth-quarter-210500554.html,2026-06-01,duckduckgo_html
