template_id,opportunity_type,study_type,primary_endpoint_type,duration_weeks,cost_usd,required_specialties,required_roles,expected_inflection_weight_0_1,mocked,source_type
ctg_nct07601295,therapeutic,interventional,functional_or_symptom,191,356400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07591922,digital_therapeutic,interventional,functional_or_symptom,50,169230,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07590817,digital_therapeutic,interventional,feasibility,4,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07589595,therapeutic,interventional,functional_or_symptom,117,1386000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07571889,platform,interventional,functional_or_symptom,43,50000,pain medicine|neurology,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07565753,therapeutic,interventional,functional_or_symptom,117,95040,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct07564414,therapeutic,interventional,functional_or_symptom,99,13859999,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07562087,therapeutic,interventional,safety,90,2665384,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07553637,therapeutic,interventional,functional_or_symptom,82,617523,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07546929,therapeutic,interventional,functional_or_symptom,190,1188000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07546799,digital_therapeutic,interventional,feasibility,18,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07545759,therapeutic,interventional,functional_or_symptom,77,1729834,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07529717,therapeutic,interventional,clinical_outcome,78,138600,oncology|pathology,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct07505303,therapeutic,interventional,functional_or_symptom,36,243692,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07503210,therapeutic,interventional,functional_or_symptom,115,3326399,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07502872,therapeutic,interventional,clinical_outcome,187,118800,oncology|pathology,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct07500506,therapeutic,interventional,clinical_outcome,34,3447704,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07496450,therapeutic,interventional,safety,44,10424615,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07458230,diagnostic,interventional,functional_or_symptom,117,1386000,critical care|infectious disease|emergency medicine,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07455136,platform,observational,biomarker,120,3801600,hospital medicine|primary care,reviewer|advisor|investigator,0.50,false,ctgov_ri_history_csv
ctg_nct07451223,platform,observational,feasibility,4,50000,hospital medicine|primary care,reviewer|advisor|investigator,0.45,false,ctgov_ri_history_csv
ctg_nct07446855,therapeutic,interventional,clinical_outcome,210,712800,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.75,false,ctgov_ri_history_csv
ctg_nct07446374,diagnostic,interventional,clinical_outcome,184,9504000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.55,false,ctgov_ri_history_csv
ctg_nct07442266,digital_therapeutic,interventional,functional_or_symptom,25,50000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07442058,medical_device,interventional,feasibility,104,110880,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07437131,digital_therapeutic,interventional,biomarker,38,77169,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.50,false,ctgov_ri_history_csv
ctg_nct07427394,therapeutic,interventional,safety,86,87323,oncology|pathology,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07420283,therapeutic,interventional,functional_or_symptom,106,1841400,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07412756,therapeutic,interventional,functional_or_symptom,103,5544000,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07398443,digital_therapeutic,interventional,functional_or_symptom,145,380160,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07384247,platform,interventional,functional_or_symptom,16,50000,pain medicine|neurology,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07379853,platform,interventional,feasibility,101,177408,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07363616,digital_therapeutic,interventional,functional_or_symptom,45,76153,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
ctg_nct07357740,therapeutic,interventional,functional_or_symptom,58,981538,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.65,false,ctgov_ri_history_csv
ctg_nct07349693,therapeutic,interventional,clinical_outcome,213,970200,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.90,false,ctgov_ri_history_csv
ctg_nct07339423,therapeutic,interventional,functional_or_symptom,182,6375600,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.80,false,ctgov_ri_history_csv
ctg_nct07316543,digital_therapeutic,interventional,functional_or_symptom,278,148896,hospital medicine|primary care,reviewer|investigator|pilot_designer,0.45,false,ctgov_ri_history_csv
